"Name","FullName","LastWriteTime","Length","Hash"
"Set-TCPSettingsTDO.ps1","C:\sc\xopBuildLibrary\Public\Set-TCPSettingsTDO.ps1","5/5/2026 11:38:04 AM","4571","7D0A3CDECA4B0D42FDB01C05A052615741873D69F4BF7F56811172ED5B54A440"
"Set-TLSSettingsTDO.ps1","C:\sc\xopBuildLibrary\Public\Set-TLSSettingsTDO.ps1","5/5/2026 11:38:04 AM","9762","4137B1AE62BC8768DF42E933B5C6E2C5F35C80E4731D11BF339BBD13E4E5348C"
"show-ExchangeSetupLogSummary.ps1","C:\sc\xopBuildLibrary\Public\show-ExchangeSetupLogSummary.ps1","5/5/2026 11:38:04 AM","65538","90C028A07D11951E46AABDCCDF6EC7E9CE3FC1C8BB69154F0F693AA9D2667D69"
"Test-DomainNativeModeTDO.ps1","C:\sc\xopBuildLibrary\Public\Test-DomainNativeModeTDO.ps1","5/5/2026 11:38:04 AM","3710","B51DD928953BDB4565CE5F3DA6C2023EDA9787057BB30A0972AC5A06C3F98A71"
"Test-PendingRebootSimple.ps1","C:\sc\xopBuildLibrary\Public\Test-PendingRebootSimple.ps1","5/5/2026 11:38:05 AM","2909","6B7B2916FFE208AA550ABB2E90FB8FEA2085F08D2A00720C73543C23B4256973"
"test-xop15LocalInstallDrivesTDO.ps1","C:\sc\xopBuildLibrary\Public\test-xop15LocalInstallDrivesTDO.ps1","5/5/2026 11:38:05 AM","41016","AEDCD6DD30AD7888CDC8D19A316435F142A8FC97BAF2EA19C19167118D14DC97"
"Write-MyError.ps1","C:\sc\xopBuildLibrary\Public\Write-MyError.ps1","5/5/2026 11:38:05 AM","2888","939D8E05A53C9C9FF2EB7C2193CD216BBAF5817DE5168CC6038116AA254822F7"
"Write-MyOutput.ps1","C:\sc\xopBuildLibrary\Public\Write-MyOutput.ps1","5/5/2026 11:38:05 AM","3237","3A26EDE77E7754464B88341BC18CC3960997606F6C956576D36D9E7B4183C827"
"Write-MyVerbose.ps1","C:\sc\xopBuildLibrary\Public\Write-MyVerbose.ps1","5/5/2026 11:38:05 AM","2950","DCFD0B181BE5B0F0B1986E325C667B981A0780775BD0945C84990F0601E4708A"
"Write-MyWarning.ps1","C:\sc\xopBuildLibrary\Public\Write-MyWarning.ps1","5/5/2026 11:38:05 AM","2904","74A66767332AA4C33A43EB800D9997F217B677B8A6604FE001D656469CB0AD18"
"_getstatus_.ps1","C:\sc\xopBuildLibrary\Public\_getstatus_.ps1","5/5/2026 11:38:05 AM","5695","F22E84DE197DC073EBE437F33883C93BC414DBDA4398EF445D7586EDE3819578"
